text,Mystery,Drama,Thriller,Comedy,Action
"The film opens to the sound of a gramophone playing Axxon N, “the longest-running radio play in history”. Meanwhile, a young prostitute, identified in the credits as the ""Lost Girl"", cries while watching television in a hotel room, following an unpleasant encounter with her client. The Lost Girl’s television displays a family of surreal anthropomorphic rabbits who speak in cryptic statements and questions. Occasionally, there are laugh track responses within these Rabbit scenes. These three elements become recurring motifs throughout Inland Empire. The majority of the first act takes place in Los Angeles. A local actress named Nikki Grace  has applied for a comeback role in a film entitled On High in Blue Tomorrows. The day before the audition, Nikki is visited by an enigmatic old woman from Poland  who claims to be her neighbour. The old woman insists that Nikki has won the role, and recounts two Polish folk tales. One tells of a boy who, sparking a reflection after passing through a doorway, “caused evil to be born”. The other tells of a girl who, wandering through an alleyway behind a marketplace, “discovers a palace”. The old woman presses Nikki for details on her new film, asking whether the story is about marriage and involves murder. Nikki denies both, but her neighbour stridently disagrees. Disregarding Nikki’s troubled response, the old woman comments on the confusion of time, claiming that were this tomorrow, Nikki would be sitting on a couch adjacent to them. The film then pans to where the neighbour is pointing, and we see Nikki and two girlfriends sitting on the couch. Her butler walks into the living room – where the old woman no longer reclines – with a phone call from her agent, announcing that she has won the role. Ecstatic, Nikki and her friends celebrate while her husband Piotrek  ominously surveys them from atop a nearby stairwell. Some time later, Nikki and her co-star Devon Berk  receive an interview on a talk show called The Marilyn Levees Show. The host  asks both actors whether they are having an affair, to which each of them respond negatively. Devon has been warned by his entourage that Nikki is out-of-bounds, due to her husband’s power and influence. Later, on the set being built for the film, Nikki and Devon rehearse a scene with the director Kingsley . They are interrupted by a disturbance, but Devon finds nothing upon investigation. Shaken by the event, Kingsley confesses that they are shooting a remake of a German feature entitled 47. Production was abandoned after both leads were murdered, creating rumours of the film being cursed due to its roots in an old Polish folk tale. Immersed in her character ""Sue"", Nikki appears to begin an affair with Devon – under the guise of his own character ""Billy"". While filming a scene in which her character buys groceries, Nikki notices a door in the alley marked Axxon N, and enters. It leads to a room behind the studio, where she can see herself rehearsing her lines weeks earlier. When Devon is sent to find who's lurking backstage, Nikki realizes that she was the disturbance, causing her to flee among the half-built backgrounds and into the house of another character named Smithy. Despite the set being merely a wooden facade, Nikki enters to find an illuminated suburban house inside. Devon looks through the windows, but sees only darkness. At this point, the film takes a drastic stylistic turn. Various plotlines and scenes begin to entwine and complement each other. The chronological order is often confused or nonexistent. Inside the house, Nikki finds her husband in bed. Hiding from him, she encounters a troupe of prostitutes. One of the women advises her to “gaze through a burn hole in the silk”. Nikki complies and witnesses several strange happenings – many of which seem to revolve around her, or an alternate version of herself. The woman who plays Doris Side - Billy’s wife in the film , tells a policeman that she has been hypnotized to murder someone with a screwdriver – but finds the screwdriver embedded in her own side. A mysterious organization claims to have captives from Inland Empire. In the past, Polish prostitutes are confronted by strange pimps while murder permeates their city. Nikki, having become one of the prostitutes in the present, wanders the streets while her companions directly ask the audience “Who is she?” Both Nikki and her prostitutes frequently ask people to look at them, and say whether “you've known me before”. In a parallel plotline, Sue climbs the dark staircase behind a nightclub to deliver a long monologue to a Jewish Rabbi named Mr. K – which touches upon her childhood molestations, disastrous relationships and revenge missions. Her husband Smithy seems to be connected with both the pimps and the organization – and is said to be good with animals, hence his job with a circus from Poland. There is much talk of The Phantom, an elusive hypnotist. Convinced she’s being stalked by a red-lipped man, Sue arms herself with a screwdriver. Finally, Sue walks down Hollywood Boulevard, and is startled to see her doppelgänger across the street. Before Sue can investigate, Doris arrives and attempts to kill her, having been hypnotized by The Phantom. Sue is brutally stabbed in the stomach with her own screwdriver, causing her to stagger down the street and eventually collapse next to some homeless people on the corner of Hollywood and Vine. An Afro-American woman remarks that Sue is dying, then proceeds to debate with another, younger homeless woman about taking a bus to Pomona. Her companion talks at length about a friend named Niko – the prostitute whose blond wig makes her look like a movie star, thus allowing her to walk through the rich district without drawing attention. The Afro-American woman comforts Sue by holding a lighter in front of her face, until she finally dies, “having no more blue tomorrows”. Off-camera, Kingsley yells “cut”, and the camera pans back to show this has merely been a film scene. As the actors and film crew wrap for the next scene, Sue slowly arises, Nikki once more. Kingsley announces that her scenes for the film are complete. In a daze, Nikki wanders off set and into a nearby cinema, where she sees not only On High in Blue Tomorrows – encompassing some of the subplots of the film – but events that are currently occurring. She wanders to the projection room, but finds an apartment building marked *Axxon N*. Eventually, Nikki confronts the red-lipped man from earlier, now known to be The Phantom. She shoots him, which causes his face to morph first into a distorted copy of Nikki's own face, but then into something resembling a foetus bleeding from its mouth. Nikki flees into a nearby room – Room 47, which houses the rabbits on television, though she fails to see them. Elsewhere in the building, Nikki finds The Lost Girl, who has been watching and crying all along. The two women kiss, before Nikki fades away into the light along with the rabbits. The Lost Girl runs out of the hotel and into Smithy’s house, where she happily embraces a man and child. Nikki is then seen back home, triumphantly smiling at the old woman from the beginning of the film. The concluding scene takes place at her house, where she sits with many other people, among them Laura Harring, Nastassja Kinski and Ben Harper. A one-legged woman who was mentioned in Sue's monologue looks around and says, “Sweet!” Niko, the girl with the blonde wig and monkey, can also be seen. The end credits roll over a group of women dancing to Nina Simone's ""Sinner Man"" while a lumberjack saws a log to the beat.",1,1,1,0,0
"{{Plot}} Jerry is mixing a potion. When he drinks the potion, he discovers he is able to run  at blinding speed. Tom is about to eat a sardine, but Jerry gets to it first. Tom is confused, and then waves it off and goes for the rest of the fish. Jerry steals those too. Tom then sops up the last bit of fish gravy with his finger, but Jerry eats it and also takes the skin off that finger. Tom begins to wonder if it is a ghost eating his food, but he discounts this idea as stupid. He comes to the conclusion that it must be a bug with a jet-pack and chatter-like teeth. Tom slips a large watermelon slice around the corner and readies a flyswatter. Jerry mows through all the watermelon flesh and Tom only ends up scattering the rind and seeds around. When Tom sees an entire turkey being eaten, he panics and takes a grape cluster and an apple from the table. Jerry eats the apple down to the core, then comes back to eat the entire fruit and then to eat all but one of the grapes. Tom covers up the grape, then licks his lips at it and Jerry swipes it. Now Tom starts to go berserk. He hides in the refrigerator and then starts to take a sniff of a rack of ribs. He does not see Jerry swipe them all until he bites on each of the bones in turn. Tom then sets out a cake and films Jerry stealing it so he can see who is taking his food. After Tom prepares the film, he plays it in slow motion. This is what happened: Jerry approaches from the right and ate the cake one layer at a time, then he took the cherry on top. Tom sees this and mutters somewhat in the vein of, ""Why that mouse is very strong!"" Jerry then bounces the cherry like a basketball and then gets a net through which the cherry falls into Jerry's mouth. Jerry bounces up, dashes superfast to the right and grabs the net so that it twists into the word, ""Finis"". Tom comes up with a plan to catch the mouse in his act. He makes a mousetrap sandwich and makes a ""Mmm"" gesture so that Jerry will chomp it and get trapped. Jerry does take the bait, but the trap doesn't work. Tom bites at the mouse, but ends up biting the mousetrap  and launching himself into the light fixture. Jerry brakes and raids the refrigerator. Tom follows him and opens the door to find a banana walking. Tom snatches it up and pulls the banana skin down to reveal the mouse and right after Jerry ate it. Jerry kisses Tom's nose and runs off at superspeed, but the potion wears off and throws the mouse around randomly. Jerry falls into his hole as Tom reaches for him. Jerry makes a second potion, but this time it makes him grow and grow and grow and grow. Tom catches the mouse's tail and somehow manages to pull him through the wall. When Tom can no longer lug the load around, he turns around to see the mega-Jerry sadistically raising his eyebrows and waving at him. Tom begins to laugh at the super-sized Jerry, but then begins to cry, meaning that he is worried. Okay, wise guys, you always wanted Tom to catch Jerry... Now what does Tom do?",0,0,0,1,0
"The film centers on Mike Halligan, a retired cop, who suffers a fatal heart attack while putting up Christmas lights days before Christmas. While in heaven he makes a deal to return to life for a few days in order to fulfill a promise to take his grandson to New York City for the holidays.",0,1,0,0,0
"Inspector Shankar  is assigned to investigate the mysterious death of Sunder Singh , whose ship wrecks on a stormy night. Sunder was off to marry Sheila , the daughter of his mother's  childhood friend who had long died. Sheila was raised by her father, who dies of heart attack when he comes to know of Sunder's death. Sunder's mother decides to take Sheila to live with her. In denial of her son's death, Sunder's mother keeps doing various acts in madness. She keeps serving food for Sunder, talk with his photos, keeps feeling that her son has returned, etc. Meanwhile Shankar and Sheila fall in love. But in her madness Sunder's mother starts preparations of Sunder's wedding with Sheila. Sunder's face-burnt body is found and the mystery continues whether his death was an accident or a murder.",1,1,1,0,1
"Jackie Brown  is a flight attendant for a small Mexican airline, the latest step down for her career. To make ends meet, she smuggles money from Mexico into the United States for Ordell Robbie , a gun runner under the close watch of the ATF. Ordell learns that another of his workers, Beaumont Livingston , has been arrested. Fearing that Livingston will become an informant in order to avoid jail time, Ordell arranges for his bail with bondsman Max Cherry . Following his release, Ordell promptly lures Livingston out to be killed. Acting on information Livingston had indeed shared, ATF agent Ray Nicolette  and LAPD detective Mark Dargas intercept Jackie as she arrives in the United States with Ordell's cash and some cocaine that Brown was unaware was stashed in her bag. Initially refusing to deal with Nicolette and Dargas, she is sent to jail on possession of drugs with intent to sell. Sensing that Jackie may now be just as likely to inform as Livingston had been, Ordell goes back to Max to arrange her bail. Max arrives to pick her up and, only partly masking his attraction to her, offers to buy her a drink and help determine her legal options. Ordell later arrives at Jackie's house intending to murder her. She surprises him by pulling a gun she surreptitiously borrowed from Max's glove compartment, however, and barters a deal with Ordell whereby she will pretend to help the authorities while still managing to smuggle $500,000 of Ordell's money, enough to allow him to retire. To carry out this plan, Ordell employs Melanie Ralston , a woman he lives with, and Louis Gara , a friend and former cellmate. He also uses a naïve Southern girl, Sheronda. With Jackie's help, Nicolette and Dargas arrange a sting to catch Ordell, unaware that Jackie and Ordell plan to double-cross them by diverting the actual money before the authorities make an arrest. Unbeknownst to the others, Jackie plans to deceive all of them with the help of Max in order to keep the $500,000 for herself. After a trial run, during which Nicolette could observe the operation, the stage is set for the actual event. In a large shopping mall near Los Angeles, Jackie buys a new suit and enters a dressing room. Her role is to swap bags there with Melanie and Louis, supposedly passing off the $500,000 under Nicolette's nose. Instead, she gives Melanie only $50,000 and leaves the rest behind in the dressing room for Max to pick up. Jackie then feigns despair as she calls Nicolette and Dargas out from hiding and claims Melanie took all the money and ran. In the parking lot, Melanie annoys and mocks Louis until he loses his temper and shoots her. Ordell discovers that Louis has only $40,000 in the bag . Ordell realizes his money has been stolen and, also angered to learn that Louis shot Melanie, kills Louis. Ordell's next concern is the involvement of Max Cherry, having been told by Louis that he spotted Max in the store before the pickup. Lured back to Max's office, where Jackie is said to be frightened and waiting to hand over his money, Ordell arrives armed. Jackie yells out that Ordell has a gun and he is shot dead by Nicolette, who had been hiding in another room. In the clear with the law and in possession of the money, minus a 10% cut that Max has taken for himself, Jackie decides to leave the country and travel to Madrid, Spain. Jackie invites Max to leave with her, but he declines before Jackie kisses him goodbye and leaves.",0,1,1,1,1
"Bishop , Q , Raheem  and Steel , who refer to themselves as ""The Wrecking Crew,"" are four friends growing up in Harlem. They regularly skip school, instead spending their days hanging out at Steel's apartment, at a neighborhood arcade and also a record store where they steal LPs for Q's local DJ interests. Generally, they are harassed daily by the police or a Puerto Rican gang led by a knife carrying thug named Radames. After witnessing a robbery at the local bar, an aggravated Bishop becomes enthralled at the ""juice"" and the audacity of crime life. He boasts on, about tiring of the harassment by police, gangs and a local bodega owner and decides that the group must scheme on a plan to win respect. Q, however, is unsure if he wants to become involved in a life of crime, stating respect is earned. One Saturday night, under Bishop's persistence, the friends decide to rob a local bodega to teach the owner, Fernando Quiles, a lesson. Q is hesitant to go through with the crime, unsure whether it will be a success; he also fears it will affect his chances of participating in a DJ competition in which he has yearned to compete for years. After being pressured by fellow crew members he decides to join them. During the heist, for no apparent reason, Bishop shoots the owner in the head killing him. After fleeing the scene, the four gather in an abandoned building where they argue over the evening's events. Q, Raheem and Steel become angry at Bishop for killing Quiles, and Raheem demands that Bishop give the gun to him; Bishop resists, and a struggle ensues between the two, ending when Bishop retorts by shooting Raheem dead. Panicked, Bishop, Q and Steel run to another building, where Bishop stashes the murder weapon and threatens to kill Q and Steel if they reveal to anybody that what has transpired. Soon thereafter the trio are picked up and questioned by Police. Without any concrete evidence, they are all soon released. Days later, Q and Steel realize that Bishop is fracturing, breaking down into both friend and threat while becoming addicted to the thrill of ""juice"". They agree to give Bishop as wide a berth as possible. However, while attending Raheem's funeral, the two see Bishop there. Bishop subverts his betrayal, but even goes as far as to hug Raheem's mother and promise to find his killer. Afterwards, Q and Steel are mostly able to avoid Bishop, but he eventually finds them and confronts them one at a time, questioning their loyalty. One day, after a scuffle with the Puerto Rican gang, Bishop kills their leader Radames. In bloodlust, Bishop wields his newfound ego with authority but rethinks his position. In order to cover his tracks, he begins a plan to frame Q for the murders of Quiles, Raheem and Radames. Fearful of Bishop, Q resorts to buying a gun of his own for protection. Meanwhile, Bishop confronts Steel and leads him into an empty alley, where he shoots him, suspecting him of disloyalty. Steel survives the initial attack and is able to make it to the hospital, where he informs Q's girlfriend Yolanda  that he has been framed by Bishop. Fed up with the sudden tension and fears that guns have brought him, Q throws his own gun into the river and decides to confront Bishop unarmed, as a man. That night, Q and Bishop meet nearby, where a fist fight ensues. Q flees and Bishop gives chase, firing wild and shoots Q in the arm. The youth is subsequently chased into a high-rise building, where he runs into a crowded elevator. Bishop follows, firing the gun and is swarmed by a group of party-goers, losing his weapon in the commotion. Q stumbles into the party, following a fleeing Bishop, who lures him, ducking outside a window to the rooftop. Bishop and Q finally confront each other face to face with Q gaining the upper hand and sucker punching Bishop, who falls over the ledge. Bishop calls out for Q as he grabs his hand, struggling to hold onto him. Tired and wounded, Q loses his grip and Bishop falls to his death. As Q turns to leave, he looks back to see a large crowd from the party gathered behind him. One of the kids in the crowd looks to Q and says, ""Yo, you got the juice now, man."" Q stares at him, shakes his head in disgust and starts off. The film ends with a flashback of the four friends together in happier times as Bishop yells, ""Wreckin' Crew!""",0,1,1,0,1
"Leslie Wright  is a straight-shooting physical therapist and die-hard basketball fan who is tired of being a guy's best friend. She and her god-sister, Morgan, are living together; Morgan dreams of becoming an NBA trophy wife. After a Nets basketball game Leslie helps star player, Scott McKnight ([[Common_, at a gas station. He offers to open her door for her , but the task proves difficult as the door to her old car is stiff and hard to open. She has a dent in the side of her door that she refuses to get fixed because her grandfather gave her the car and he had a dimple in his left cheek just like the car. He invites her to his birthday party, where she shows up with Morgan. He meets Morgan and suddenly takes an interest in her. After a quick relationship, Scott proposes to her. At the 2009 NBA All-Star Game, Scott becomes injured. The injury could possibly ruin his career. Morgan suggests that he enlist the help of Leslie because she did not approve of his previous good looking physical therapist, Bella Goldsmith. As a result, Leslie moves into their home. Rumors circle that Scott's career will end quickly if he does not recover by the playoffs, which causes Morgan to leave Scott through a letter. Scott becomes extremely discouraged, not wanting to continue recovery. Leslie encourages him, helping him get back in the game, and the two of them grow closer while she nurses him back to health. Scott is able to return to the NBA right before the playoffs. Initially, he is apprehensive and plays poorly until Leslie encourages him. He then makes the winning shot. Scott thanks Leslie profusely and offers to take her out to a nice dinner. After the dinner, Scott surprises Leslie with a completely remodeled car . Leslie thanks Scott with a quick kiss which he returns with a passionate kiss. Leslie and Scott sleep together, but Leslie wakes up to Morgan at Scott's door hoping to reconcile. Leslie quickly moves out as Scott and Morgan reunite. During a dinner engagement, Scott realizes that Morgan has a shallow personality; he noticed that Morgan recognized many types of expensive champagne, while Leslie did not mind eating from a food truck. At a televised interview, Scott informs the host that Leslie was more than a physical therapist and she managed to make the worst three months of his life, ""the best three months of my life."" Scott and Morgan then realize that Scott is in love with Leslie. Morgan understands and informs Scott that Leslie is meeting with the Philadelphia 76ers - because Leslie helped Scott recover in such a short amount of time, many teams offered her the position as an athletic trainer. Leslie seriously considered Philadelphia because she could not work for the Nets and with Scott. Scott finds her in Philadelphia and expresses his love for her. When they are shown a year later, Leslie is working as the Nets athletic trainer and they are married.<ref nameJust Wright |urlIMDb|publisher2 June 2012|author1990-2012}}",0,1,0,1,0
"In 1961, the Soviet Union launches its first ballistic missile nuclear submarine, the K-19 — nicknamed ""The Widowmaker"" due to the many deaths that occurred during its construction. The ship is led by Captain Alexei Vostrikov , aided by executive officer Mikhail Polenin . Polenin, the original captain, and the crew have served together for some time but Vostrikov's appointment is alleged to have been aided by his wife's political connections . During his first inspection, Vostrikov discovers the submarine's reactor officer to be drunk and asleep on duty. Against Polenin's advice that the man is ""the best reactor officer in the fleet"", Vostrikov sacks the officer and orders Polenin to request a replacement. The new reactor officer  arrives direct from the naval academy and has never been to sea. Also, during the preparation period for the sub's launch, the ship's medical officer is killed when struck by an oncoming truck, and is subsequently replaced by a naval doctor  who, while being a longtime veteran, also has never served at sea, and has no experience in radiologically based illnesses. During the K-19's official launch, the bottle of champagne fails to break when it strikes the bow; the sailors nervously glance at each other due to this customary sign of bad luck. K-19 puts to sea for her trials. Vostrikov orders a series of diving maneuvers during which he directs Polenin to simulate a number of emergencies including fires and flooding while he times the crew's response. He is not happy with their performance. There are a number of minor accidents during these exercises which result in injuries to crew members. In addition, Vostrikov points out to Polenin that the crew are too slow and slipshod in their reaction and completion of these exercises. The crew begin to grumble about Vostrikov's demanding orders and authoritarian manner, but Polenin silences them when he visits the crew's quarters: ""I heard there'd been some complaining. I thought, 'Not from my crew. Not on my boat'."" Meanwhile, Vostrikov blames the officers for the crew's under-performance, accusing them of being soft on the men and lacking leadership. The crew's performance improves and Vostrikov decides to carry out the K-19's first mission, which is to surface in the Arctic and fire an unarmed  ballistic missile. Vostrikov orders the K-19 to submerge to maximum operational depth , then surface rapidly at full-speed to break through the Arctic pack-ice which he estimates to be no more than one metre thick. Polenin regards this maneuver as dangerous and, during the surfacing procedure, storms off the bridge. After scraping along the underside of the ice, the K-19 finally breaks through and surfaces with no apparent damage. The test missile is launched successfully and the crew are both relieved and exhilarated by Vostrikov's bold maneuver. The crew are allowed some time off during which they play football on the ice and a group photograph is taken. Talking privately with Polenin, the submarine's political officer, Suslov, expresses some confidence in Vostrikov, but Polenin asserts that the captain was ""lucky today, that's all."" K-19 then receives new orders, to sail down through the North Atlantic and patrol off the US east coast ""between Washington and New York."" As the K-19 sails southwards, a pipe carrying coolant to the reactor cooling system springs a leak and then bursts completely. The control rods are inserted to stop the reactor, but without coolant the reactor temperature continues to rise rapidly. Polenin and the reactor officer, Radtchenko, are shocked to discover that back-up coolant systems have not been installed. Vostrikov orders the K-19 to surface so that he may contact fleet command to inform them of the accident and await orders. But upon surfacing they discover the long-range transmitter on the conning tower is damaged and they are unable to contact fleet headquarters — Vostrikov assumes, ruefully, his surfacing maneuver in the Arctic caused the antenna damage. The reactor crew discuss options. Radtchenko informs them that if the reactor temperature exceeds 1000° Celsius it will result in a catastrophic explosion and may trigger the detonation of the submarine's nuclear warheads as well, and they estimate that they have three to four hours before this happens. The other option is that they try to cool down the reactor by opening it, they will be directly exposed and the whole crew would die from the radiation poisoning. Some suggest sending out a distress call on the submarine's short-range transmitter and abandoning and scuttling the ship. Vostrikov refuses to consider such an idea. Pavel Loktev, the senior reactor technician, suggests piping the K-19's drinking water into the reactor with which to cool it. But in order to do this they need to construct a system of pipes to transfer the water. Vostrikov approves the plan and the crew work feverishly, cannibalizing the submarine to construct the piping system. The final phase requires sailors to enter the radiation-filled reactor room to weld the pipes together. In order to restrict exposure to the deadly, leaking radiation, they require three teams of two, working for no more than ten minutes at a time. Vostrikov calls for volunteers. Pavel and another crewman, Anatoly Zubachev, volunteer to be the first team, but Vostrikov has to order others into the reactor. He orders Radtchenko in as part of the last team, to inspect the success of the welds. Polenin and the radiation safety officer then discover the K-19 has no radiation suits, only chemical suits. ""They might as well wear raincoats!"", exclaims Polenin. Nevertheless, with no other option, he lies to the men and tells them the chemical suits will protect them. The first team enter the reactor and begin welding. Emerging ten minutes later and removing the suits, they are both suffering from severe radiation poisoning and are carried to their quarters where the doctor attends to them. The second team enters. Meanwhile, on the bridge, the captain, officers, and crew monitor the reactor temperature which is climbing steadily. In the reactor room, the second team emerges just as badly poisoned as the first and are carried away. It is time for the third team to go in, but Radtchenko is overcome with fear and cannot bring himself to enter the reactor. Chief engineer Gorelov volunteers to go in his place. They complete the welding and to everyone's relief the reactor temperature begins to fall — the plan seems to have worked. But the submarine is beginning to fill with radiation as the reactor door is now breached, to allow the coolant pipe access. Polenin wants to seek help from a nearby NATO base on Jan Mayen. Vostrikov refuses to surrender his boat or crew and orders the K-19 to sail towards the USSR, under radio silence, in the hope that they will meet up with another Soviet submarine; Polenin is doubtful this plan will succeed as it relies on luck. Vostrikov is informed that a helicopter is approaching; he and some of the crew climb out onto the deck, thinking a Russian ship has come to save them, only to discover that it is a US Navy helicopter from a nearby US destroyer. The destroyer is asking if the K-19 requires assistance. Vostrikov orders a reply in the negative; the men on the deck notice a crewman in the helicopter photographing them, and they drop their trousers and bare their buttocks at him. The helicopter flies away. Vostrikov refuses to allow the Americans anywhere near K-19. The US destroyer follows them at a discreet distance. Demichev, the torpedo officer, meets with Suslov in private. He reminds the political officer that he is empowered to remove Vostrikov as captain, if he judges Vostrikov to be jeopardizing the mission. After a few hours and with no 'friendly' ship sighted, the weld connecting the temporary coolant pipe to the reactor fails and the reactor temperature again begins to rise dangerously. Radtchenko dons a useless safety suit and enters the reactor alone to fix the broken weld. Vostrikov again orders the K-19 to submerge, rather than abandon ship, angering the men. As the K-19 dives some torpedo fuel, spilled when the torpedo was stripped for pipes, ignites resulting in a fire in the aft torpedo room. Polenin refuses the captain's order to implement the fire suppression system, which would kill the men fighting the fire, but goes forward to supervise the effort. When he is gone, Demichev and Suslov produce pistols and point them at Vostrikov, and the Suslov announces he is replacing Vostrikov with Polenin as captain of the submarine, and to surface immediately. Vostrikov is handcuffed to a ladder. With the torpedo room fire extinguished, Polenin returns and is told what has happened. ""Good,"" he says and asks for Demichev and Suslov to hand over their weapons to him. They do so and Polenin immediately orders Vostrikov to be released and Demichev and Suslov to be placed under arrest. Polenin admonishes them for the attempted mutiny and re-affirms Vostrikov as the captain of the K-19. Vostrikov then attempts to re-order the crew of the K-19 to submerge, but Polenin interrupts him to say ""Don't order them; ask them."" Vostrikov explains the situation. If the reactor and the ballistic missiles explode while the K-19 is surfaced, the resulting nuclear blast will destroy not only the K-19 but also the nearby US navy ship and, most likely, the NATO base as well. As the K-19 has been unable to inform anyone in the outside world of her predicament, the United States, the Soviet Union, or anyone else will only know that a huge nuclear explosion has destroyed a U.S. warship and NATO base; that such a disaster could trigger World War III. The crew appreciate their wider duty and prepare to dive deep and scuttle the submarine. But Radtchenko has spent 18 minutes in the reactor successfully fixing the weld, and the temperature begins to drop again as Vostrikov himself drags the fatally poisoned officer from the reactor. Just as Vostrikov orders the men off the boat so that he can scuttle it, they are rescued by another Soviet submarine. Vostrikov wants to move his crew to the other submarine, away from the radiation, but permission is not granted. He moves the crew anyway. Polenin warns him that he will be sent to the gulag, just like his father, for disobeying orders. Vostrikov smiles and says, ""It's a family tradition, isn't it?"" Afterwards, during a formal inquiry of the events, Polenin speaks highly of Captain Vostrikov, and rebukes the convened tribunal for the hostile interrogations of both Vostrikov, and the radiation afflicted crew, even going so far as to say: ""None of you...none of you...has the right to judge Captain Vostrikov. You weren't there! I was! He was our captain! He was my captain. And it would be an honor to sail under his command again."" The inquiry acquits Vostrikov of any wrongdoing in the end, but he is never given command of another Soviet submarine again. An epilogue shows an aged Captain Vostrikov in 1989, putting on his dress uniform in a small flat and catching a train to meet up with Polenin. It is exactly 28 years after the accident; the Berlin Wall is shown to be coming down. Vostrikov grumbles about the inconvenience but Polenin informs him this is the anniversary of the day they were rescued. The commanders enter a cemetery where a number of the surviving K-19 crewmen are gathered by a gravesite. We learn that this is the first time the K-19 survivors have met since the incident; they were ordered never to meet or discuss the incident after the inquiry. Vostrikov is visibly moved as he greets the men and informs them that he nominated the men now dead of radiation poisoning  for the distinction of Hero of the Soviet Union, but was told they were not ""worthy"" of the title as they died not in battle, but as the result of an accident. The men drink a toast to their deceased comrades, and a flashback of the crew posing for the photograph on the ice is shown.",0,1,1,0,1
"{{Plot}} Smith is an 18-year-old film student who identifies sexually as ""undeclared"" with a strong sexual appetite. He has been having strange dreams. He is going to college with his best friend, Stella, whom he has known since junior high. Smith finds a note saying that he is the ""chosen son"". He has a roommate, Thor, whom he lusts after, regretting that Thor is straight. Stella goes to a party with Smith, but hooks up with another girl, Lorelei. He recognizes Lorelei as one of the people in his dream. Smith notices a guy, but he is distracted when a red-haired girl from his dream vomits on his shoe. The guy vanishes, but Smith gets picked up by London, a British student. They have sex, but to Smith's regret she does not want to be with him except during the sex. Smith visits a nude beach, and meets a man named Hunter. They start to have sex, but Smith is disappointed to hear that Hunter is married. Stella discovers that Lorelei is not only insatiable, but also a witch with rejection issues. Stella keeps trying to dump her, but has difficulty as the witch takes over Smith's body, and later tries to strangle her in the washroom. Stella saves herself by spraying water on the witch, causing her to burn up. During this time, Smith continues to dream about the red-haired girl. In his dreams, they are both pursued by people wearing animal masks. Smith finds out that the girl was killed, and her head was cut off. He later meets her twin sister, who says that she was kidnapped many years ago by men wearing animal masks. He also meets the guy from the earlier party, and learns his name is Oliver. He is gay and wants to go on a date with Smith. Smith walks in on Thor and his best friend Rex wrestling in their underwear. Though they are calling each other gay, Stella explains that only straight guys can get away with that. London seduces Rex and convinces him to have a three-way with Smith for his 19th birthday. The animal-masked people finally capture Smith, London, and Smith's mom. They are bundled into a van to be driven to meet the head of a secret cult. Smith finds out that it is his father , and London is his half-sister. Meanwhile, Stella, Oliver, and the perpetually stoned ""Messiah"" hook up to pursue the van. Oliver has powers like Lorelei's, but uses them for good. It turns out that meeting Oliver wasn't chance. He was looking for Smith to protect him. The Messiah was only acting stoned. He's also there to protect Smith. The animal-masked people turn out to be Thor, Rex, and Hunter. They must get London and Smith to a secret underground shelter to survive the explosion of dozens of nuclear bombs. Anyone not in the cult will be annihilated, and the cult will take over the world with Smith as its leader. The Messiah tries to run the van off the road, and both vehicles scream towards a bridge that is out. Smith's father presses a button and the whole Earth explodes, including the cult's underground shelter.",1,0,1,1,0
"Anoop Chandran , is a famous writer and award winner. Prone to seeing future events that turn out to be real, one day Anoop sees his own death in a trance. He decides to write one final novel before death comes visiting. Anoop has a wife Meena([[Sarayu , who never understands the writer in him. At the same time, Anoop is in love with dancer Gatha , with whom he shares a live-in relationship. Anoop always tells Gatha about his lost love Sathyabhama , who was his lover in college. Excited about hearing Sathyabhama aka Bhama, Gatha wants to locate Bhama and goes to Anoop's tharavadu  with him. From there they goes to Bhama's native Vattakkulam to find Bhama. That place incidently was the native of Gatha's parents also. They returned, unsuccessful in finding Bhama. Gatha went to Kolkata for her dance performances while Anoop returned to Kerala. Three months later, Gatha got a call from Anoop. Gatha was shocked to hear that actuallly there was no girl as Bhama but was only an imaginary character created by Anoop for his final novel. Anoop was actually developing Bhama's story through Gatha. Anoop finally told Gatha that he sent the novel to Gatha and Gatha has the right to give it a title and publish and added that he is about to reach the end of his life, which he realised some time back. In the final scene, we see Anoop heading to some remote destination in the snow-clad mountains, to embrace his death, which bestows him.",0,1,0,0,0
The film is the story of Yamuna  whose life is filled with worries and sorrows. Her husband ([[Vijayaraghavan  is sent to jail on a false count of murder. Her three year old son gets lost during a temple festival and that increases her problems. She prays to Lord Krishna and the lord appear and miraculous things take place.,0,1,0,0,0
